"","RIVTYPE","B","C","A","D","F","Data defic","E","tot_leng24","prcDDef24","prp24_ab"
"100","22_N_M",3147.90683619285,7632.84132372097,0,27683.9920778522,302.183485019997,0,2184.1724309649,40951.0961537509,0,0.0768699041504048
"101","22_N_U",20084.4185068453,79191.2663707195,0,338703.009004418,3913.11822572789,0,30064.9256106484,471956.737718359,0,0.0425556346624947
"102","22_P_F",23321.0144661612,184326.247524558,0,138215.008704888,0,0,22149.5515417825,368011.82223739,0,0.0633702861075962
"103","22_P_L",5298.1806736871,206256.283085957,0,637636.758714571,15051.7617275348,10704.6390517962,107257.894325225,982205.51757877,0.0108985735268359,0.00539416708505936
"104","22_P_M",18922.7174568226,42076.4199361093,0,67915.2509912371,1039.29742895122,0,13075.0113671436,143028.697180264,0,0.132300145564311
"105","22_P_U",56129.4243304556,151333.608938723,0,392575.664614519,3904.73088238685,0,30189.7939651694,634133.222731253,0,0.0885136156227591
"106","23_N_F",0,0,0,0,77.5114074215241,0,2169.65385268017,2247.16526010169,0,0
"107","23_N_L",3795.5024066522,1044.74501953658,237.253630438504,30608.9069371363,522.636237555918,0,33028.6047049897,69237.6489363091,0,0.0582451325116539
"108","23_N_M",13197.9438039617,11359.3212044215,63145.9686123397,25017.4861484247,651.741690023709,0,7734.26569986375,121106.727159035,0,0.630385398129437
"109","23_N_U",52953.5566225479,74353.4929378653,107304.863774195,121659.714972285,4828.74815075614,0,48278.7255307929,409379.101988443,0,0.391467028039129
"110","23_P_F",13306.8682786573,28055.2889958374,13655.007003809,37544.1739753071,1572.09528913966,0,20150.3282597507,114283.761802501,0,0.235920439240181
"111","23_P_L",110542.794881022,191584.13033892,65229.4114195609,173666.617992219,1215.08192426112,0,105225.854539344,647463.891095327,0,0.271478006291943
"112","23_P_M",83436.9892939135,90917.6169721044,30850.2216541646,98049.289945907,2235.36055969526,0,29058.4638220308,334547.942247815,0,0.341616840265662
"113","23_P_U",242074.771718781,313323.898388504,140548.99437765,227801.716420544,19864.7804853336,0,175736.709390533,1119350.87078135,0,0.341826478259981
"114","24_N_F",0,0,0,33266.249509504,0,3648.91482150512,10337.8031346464,47252.9674656556,0.0772208607672572,0
