"","RIVTYPE","zone","RLE18","RLE24","RLEsa18","RLEsa24","extent","EPL18","EPL24","RLE_EPL24"
"175","3_P_F","Lowland river","LC","LC","EN","EN",470054.074319239,"MP","MP","LC_MP"
"176","3_P_L","Lower foothill","LC","LC","LC","LC",3665915.9988949,"WP","MP","LC_MP"
"177","3_P_M","Mountain stream","LC","LC","LC","LC",78542.6119653127,"PP","PP","LC_PP"
"178","3_P_U","Upper foothill","LC","LC","LC","LC",1150355.93702017,"PP","PP","LC_PP"
"179","4_N_L","Lower foothill","VU","VU","CR","CR",71160.3229953455,"PP","PP","VU_PP"
"180","4_N_M","Mountain stream","LC","LC","CR","CR",35372.6192625527,"PP","PP","LC_PP"
"181","4_N_U","Upper foothill","VU","VU","CR","CR",197382.639881359,"NP","NP","VU_NP"
"182","4_P_F","Lowland river","CR","CR","EN","CR",54667.2462633978,"NP","NP","CR_NP"
"183","4_P_L","Lower foothill","LC","LC","CR","CR",360937.244052264,"PP","PP","LC_PP"
"184","4_P_M","Mountain stream","LC","LC","CR","CR",86575.2705248815,"PP","PP","LC_PP"
"185","4_P_U","Upper foothill","LC","LC","CR","EN",872090.519175196,"PP","PP","LC_PP"
"186","5_N_L","Lower foothill","LC","LC","EN","LC",138069.451922758,"NP","NP","LC_NP"
"187","5_N_M","Mountain stream","VU","VU","CR","CR",9788.16941276801,"NP","NP","VU_NP"
"188","5_N_U","Upper foothill","EN","EN","CR","CR",285598.137990116,"PP","PP","EN_PP"
"189","5_P_L","Lower foothill","EN","EN","CR","CR",163856.23013326,"PP","NP","EN_NP"
"190","5_P_M","Mountain stream","VU","VU","CR","CR",3396.79188695271,"NP","NP","VU_NP"
"191","5_P_U","Upper foothill","CR","CR","CR","CR",159288.436373699,"NP","NP","CR_NP"
"192","6_N_L","Lower foothill","EN","EN","CR","CR",59802.119040535,"PP","PP","EN_PP"
"193","6_N_M","Mountain stream","EN","EN","EN","EN",15520.1174121017,"MP","MP","EN_MP"
"194","6_N_U","Upper foothill","EN","EN","EN","EN",269448.619880507,"PP","PP","EN_PP"
"195","6_P_F","Lowland river","VU","VU","CR","CR",37106.8147834196,"PP","PP","VU_PP"
"196","6_P_L","Lower foothill","EN","EN","EN","EN",264570.824136285,"PP","MP","EN_MP"
"197","6_P_M","Mountain stream","VU","VU","EN","CR",26350.5078679653,"PP","PP","VU_PP"
"198","6_P_U","Upper foothill","EN","EN","LC","EN",520346.391410014,"PP","PP","EN_PP"
"199","7_N_F","Lowland river","LC","LC","LC","LC",34474.9135126089,"NP","NP","LC_NP"
"200","7_N_L","Lower foothill","LC","VU","EN","CR",215348.449177988,"PP","PP","VU_PP"
"201","7_N_M","Mountain stream","VU","VU","LC","LC",45447.5643578212,"MP","MP","VU_MP"
"202","7_N_U","Upper foothill","VU","VU","EN","EN",614736.82483938,"PP","PP","VU_PP"
"203","7_P_F","Lowland river","EN","EN","CR","CR",134425.904862685,"PP","MP","EN_MP"
"204","7_P_L","Lower foothill","VU","VU","CR","CR",774150.959766759,"NP","PP","VU_PP"
"205","7_P_M","Mountain stream","EN","EN","CR","CR",26472.5826703895,"PP","PP","EN_PP"
"206","7_P_U","Upper foothill","VU","VU","CR","CR",813068.626513524,"PP","PP","VU_PP"
"207","8_N_F","Lowland river","VU","VU","CR","CR",7030.05433161144,"NP","NP","VU_NP"
"208","8_N_L","Lower foothill","VU","VU","CR","CR",1080894.89265859,"NP","NP","VU_NP"
"209","8_N_M","Mountain stream","EN","EN","EN","CR",31758.0665302363,"MP","PP","EN_PP"
"210","8_N_U","Upper foothill","EN","EN","CR","CR",771133.805025082,"PP","PP","EN_PP"
"211","8_P_F","Lowland river","VU","VU","CR","CR",621881.960902548,"PP","PP","VU_PP"
"212","8_P_L","Lower foothill","VU","VU","CR","CR",1402507.20370729,"PP","PP","VU_PP"
"213","8_P_M","Mountain stream","VU","VU","CR","CR",25379.084950378,"PP","PP","VU_PP"
"214","8_P_U","Upper foothill","VU","VU","CR","CR",778218.592390381,"NP","NP","VU_NP"
"215","9_N_F","Lowland river","CR","CR","CR","CR",8109.32960668953,"PP","PP","CR_PP"
"216","9_N_L","Lower foothill","VU","VU","CR","CR",18703.2186247549,"PP","PP","VU_PP"
"217","9_N_M","Mountain stream","LC","LC","LC","LC",123859.34938626,"PP","PP","LC_PP"
"218","9_N_U","Upper foothill","VU","VU","EN","EN",717562.662369086,"PP","PP","VU_PP"
"219","9_P_F","Lowland river","EN","EN","CR","CR",18724.7800546778,"NP","NP","EN_NP"
"220","9_P_L","Lower foothill","LC","LC","EN","EN",676233.151305552,"PP","PP","LC_PP"
"221","9_P_M","Mountain stream","LC","LC","EN","EN",130194.71123596,"PP","PP","LC_PP"
"222","9_P_U","Upper foothill","LC","LC","CR","CR",1521492.98000555,"PP","PP","LC_PP"
